rank,male_name,male_count,female_name,female_count
1,Robert,58491,Mary,54373
2,James,54684,Shirley,35159
3,John,47667,Barbara,31681
4,William,39387,Betty,25865
5,Richard,33484,Patricia,23914
6,Charles,29083,Dorothy,17668
7,Donald,28635,Joan,17068
8,Thomas,18338,Nancy,16756
9,George,18195,Margaret,14593
10,David,17478,Carol,14521
11,Joseph,17453,Helen,12234
12,Ronald,16920,Joyce,11989
13,Edward,14193,Marilyn,11065
14,Kenneth,12485,Virginia,9651
15,Paul,12305,Doris,9222
16,Frank,10187,Ruth,9213
17,Raymond,9453,Beverly,8901
18,Jerry,9272,Elizabeth,8860
19,Gerald,9018,Frances,8787
20,Jack,8856,Jean,8534
21,Harold,8629,Janet,8082
22,Billy,8589,Donna,7933
23,Joe,8022,Carolyn,7908
24,Bobby,7734,Martha,7389
25,Larry,7612,Phyllis,7373
26,Walter,7538,Lois,7230
27,Carl,6589,Alice,7201
28,Henry,6446,Ann,6664
29,Eugene,6374,Norma,6634
30,Arthur,6263,Dolores,6417
31,Ralph,6029,Janice,6149
32,Willie,6013,Gloria,6139
33,Michael,5802,Marie,6131
34,Albert,5754,Evelyn,6108
35,Roger,5703,Peggy,6068
36,Fred,5602,Anna,5725
37,Lawrence,5341,Rose,5699
38,Gary,5190,Sandra,5525
39,Harry,4928,Marlene,5332
40,Howard,4876,Mildred,5053
41,Roy,4816,Geraldine,4862
42,Daniel,4815,Jane,4720
43,Norman,4645,Judith,4580
44,Louis,4418,Catherine,4535
45,Wayne,4406,Annie,4529
46,Jimmy,4208,Louise,4351
47,Earl,4106,Eleanor,4340
48,Anthony,3978,Joanne,4305
49,Marvin,3942,Marjorie,4279
50,Francis,3874,Elaine,4259
51,Don,3829,Ruby,4226
52,Clarence,3769,Patsy,4195
53,Melvin,3727,Sylvia,4156
54,Leonard,3715,Arlene,3898
55,Ernest,3714,Joann,3885
56,Peter,3713,Wanda,3881
57,Leroy,3644,Irene,3818
58,Stanley,3492,Delores,3756
59,Dale,3392,Sally,3634
60,Alfred,3253,Sharon,3573
61,Bill,3165,Charlotte,3554
62,Herbert,3115,June,3519
63,Philip,3033,Sarah,3516
64,Franklin,2940,Roberta,3466
65,Ray,2940,Bonnie,3372
66,Gene,2907,Jacqueline,3361
67,Samuel,2890,Kathleen,3352
68,Bernard,2854,Audrey,3345
69,Russell,2832,Rita,3332
70,Frederick,2816,Loretta,3322
71,Jimmie,2737,Edna,3305
72,Johnny,2732,Jo,3291
73,Bruce,2630,Carole,3199
74,Dennis,2629,Thelma,3198
75,Gordon,2567,Juanita,3181
76,Lee,2418,Lorraine,3171
77,Bob,2409,Josephine,3142
78,Douglas,2375,Wilma,3123
79,Eddie,2349,Lillian,3117
80,Glenn,2327,Florence,3084
81,Allen,2313,Yvonne,3036
82,Leon,2282,Pauline,2979
83,Andrew,2278,Darlene,2963
84,Edwin,2270,Gladys,2944
85,Jim,2267,Emma,2833
86,Floyd,2230,Grace,2790
87,Theodore,2218,Edith,2759
88,Lloyd,2160,Theresa,2757
89,Clyde,2152,Anne,2755
90,Clifford,2133,Ethel,2731
91,Tommy,2109,Clara,2683
92,Martin,2105,Lucille,2631
93,Vernon,2028,Marion,2581
94,Leo,2016,Jeanette,2552
95,Warren,1976,Bernice,2544
96,Harvey,1970,Hazel,2510
97,Alvin,1967,Linda,2439
98,Jerome,1966,Kay,2407
99,Stephen,1861,Ellen,2398
100,Patrick,1856,Katherine,2357
101,Lewis,1855,Gail,2343
102,Phillip,1845,Margie,2342
103,Charlie,1838,Eileen,2320
104,Jesse,1825,Anita,2304
105,Herman,1815,Julia,2279
106,Jackie,1812,Laura,2255
107,Curtis,1797,Esther,2252
108,Alan,1755,Willie,2227
109,Vincent,1737,Sue,2223
110,Duane,1725,Susan,2155
111,Arnold,1712,Rosemary,2148
112,Tom,1695,Diane,2146
113,Gilbert,1664,Kathryn,2110
114,Cecil,1575,Marian,2059
115,Lester,1546,Vivian,2013
116,Victor,1518,Eva,2002
117,Johnnie,1490,Billie,1991
118,Roland,1490,Bobbie,1987
119,Milton,1443,Judy,1987
120,Glen,1440,Maria,1980
121,Elmer,1412,Beatrice,1956
122,Keith,1403,Bertha,1914
123,Benjamin,1353,Elsie,1874
124,Calvin,1352,Lillie,1866
125,Dean,1332,Annette,1853
126,Terry,1293,Ella,1838
127,Chester,1278,Maxine,1829
128,Leslie,1250,Georgia,1823
129,Max,1249,Sara,1823
130,Wallace,1248,Ida,1799
131,Sam,1236,Christine,1723
132,Claude,1225,Karen,1719
133,Darrell,1207,Constance,1698
134,Freddie,1195,Connie,1681
135,Manuel,1172,Nellie,1666
136,Willard,1155,Bessie,1645
137,Maurice,1154,Alma,1608
138,Allan,1128,Marcia,1596
139,Jose,1119,Agnes,1593
140,Jay,1103,Jessie,1586
141,Dick,1088,Jeanne,1533
142,Hugh,1074,Vera,1511
143,Edgar,1067,Mattie,1503
144,Ted,1065,Joy,1484
145,Joel,1060,Charlene,1481
146,Wesley,1060,Rosa,1452
147,Ronnie,1057,Lucy,1446
148,Marion,1049,Minnie,1429
149,Virgil,1034,Myrna,1396
150,Lowell,1022,Glenda,1366
151,Jessie,1013,Suzanne,1350
152,Rodney,1009,Pat,1343
153,Oscar,1008,Geneva,1335
154,Everett,974,Harriet,1332
155,Dan,965,Maureen,1330
156,Sidney,951,Gertrude,1316
157,Nicholas,928,Sheila,1312
158,Neil,915,Rosemarie,1299
159,Lyle,910,Naomi,1281
160,Tony,893,Myrtle,1239
161,Hubert,890,Leona,1235
162,Bennie,887,Faye,1216
163,Delbert,882,Rachel,1207
164,Morris,847,Rebecca,1201
165,Homer,831,Viola,1185
166,Karl,831,Carrie,1183
167,Billie,823,Velma,1182
168,Ben,815,Dora,1163
169,Earnest,815,Violet,1152
170,Jon,815,Mae,1136
171,Luther,803,Emily,1123
172,Carroll,790,Pearl,1119
173,Wilbur,780,Rosie,1107
174,Mike,774,Dixie,1104
175,Willis,768,Lula,1100
176,Danny,757,Claire,1083
177,Lonnie,749,Caroline,1075
178,Steve,742,Shelby,1071
179,Nathaniel,738,Eunice,1062
180,Roosevelt,737,Alberta,1031
181,Benny,732,Cora,1008
182,Mark,712,Maryann,996
183,Guy,711,Patty,986
184,Marshall,711,Cynthia,983
185,Barry,706,Paula,982
186,Clayton,705,Stella,967
187,Otis,700,Lola,960
188,Horace,691,Jeannette,954
189,Alton,674,Verna,950
190,Clinton,653,Jackie,948
191,Archie,647,Gwendolyn,943
192,Rudolph,647,Hattie,938
193,Junior,638,Johnnie,937
194,Clifton,637,Nina,937
195,Nelson,631,Lena,889
196,Wendell,629,Deloris,862
197,Fredrick,627,Ramona,859
198,Bobbie,626,Colleen,853
199,Lynn,614,Carmen,847
200,Alexander,613,Rosalie,845
201,Rex,612,Erma,841
202,Matthew,608,Diana,834
203,Doyle,596,Bettie,825
204,Leland,596,Hilda,823
205,Oliver,590,Fannie,814
206,Wilbert,587,Jennie,798
207,Juan,580,Ernestine,793
208,Salvatore,576,Claudia,792
209,Merle,568,Marguerite,792
210,Alex,563,Nora,790
211,Pete,559,Iris,788
212,Edmund,554,Daisy,776
213,Julius,548,Miriam,769
214,Loren,546,Genevieve,765
215,Stuart,542,Priscilla,758
216,Eldon,541,Janie,755
217,Carlos,534,Ada,750
218,Troy,534,Flora,748
219,Malcolm,531,Irma,748
220,Dave,525,Inez,744
221,Buddy,523,Beulah,743
222,Orville,516,Mabel,743
223,Ivan,512,Susie,732
224,Donnie,505,Madeline,727
225,Tommie,504,Melba,721
226,Perry,503,Della,719
227,Jacob,501,Bette,717
228,Myron,501,Gayle,717
229,Dewey,500,Mable,712
230,Ira,500,Laverne,711
231,Elbert,492,Opal,707
232,Antonio,490,Regina,703
233,Sherman,485,Claudette,702
234,Carlton,484,Mamie,702
235,Ervin,483,Muriel,697
236,Ramon,482,Jacquelyn,694
237,Ruben,482,Lydia,688
238,Sylvester,482,Marianne,682
239,Ross,475,Teresa,675
240,Jesus,471,Marcella,673
241,Gerard,468,Antoinette,661
242,Grady,468,Maggie,661
243,Nathan,464,Mona,656
244,Byron,461,Lila,645
245,Sammy,461,Blanche,644
246,Mack,454,Bettye,637
247,Sheldon,453,Katie,632
248,Rufus,451,Arline,631
249,Julian,448,Eula,629
250,Aaron,443,Eloise,611
251,Irvin,443,Reba,609
252,Steven,442,Janis,599
253,Timothy,439,Angela,595
254,Clark,437,Amelia,581
255,Kent,436,Myra,574
256,Conrad,435,Frankie,570
257,Burton,434,Sherry,568
258,Laurence,432,Nadine,566
259,Teddy,431,Sadie,556
260,Ellis,428,Henrietta,553
261,Isaac,423,Imogene,542
262,Nick,421,Fay,530
263,Pat,421,Ina,530
264,Wilfred,420,Jimmie,525
265,Neal,419,Nelda,524
266,Dwight,418,Sallie,520
267,Darrel,408,Lorene,517
268,Angelo,406,Dawn,511
269,Harlan,400,Victoria,508
270,Felix,395,Cecilia,506
271,Jerald,394,Lou,506
272,Forrest,393,Rosetta,502
273,Gregory,393,Freda,495
274,Wilson,392,Essie,494
275,Rudy,389,Ollie,483
276,Owen,385,Estelle,477
277,Shirley,381,Nettie,475
278,Bert,376,Cecelia,471
279,Reginald,375,Winifred,462
280,Irwin,369,Lavonne,460
281,Norbert,368,Gracie,454
282,Aubrey,361,Willa,454
283,Dallas,361,Julie,453
284,Percy,360,Valerie,453
285,Loyd,356,Etta,449
286,Boyd,354,Iva,446
287,Harley,354,Jerry,446
288,Huey,353,Helene,445
289,Brian,344,Natalie,445
290,Louie,344,Ora,443
291,Frankie,343,Lee,440
292,Garland,342,Rochelle,440
293,Irving,341,Dorthy,439
294,Marlin,337,Sondra,439
295,Travis,335,Mavis,433
296,Preston,333,Glenna,425
297,Noel,325,Jewel,422
298,Sammie,318,Celia,419
299,Royce,317,Veronica,418
300,Pedro,315,Jeannine,416
301,Emmett,314,Lela,407
